NAME,ContractType,lat,lng,City,Address,Province,Description,PropertyType,Price,LastUpdated
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.00648,-79.450396,Aurora,#1A - 14 WELLINGTON ST E Aurora Ontario L4G1H5 Canada,Ontario,Prime Downtown Core Retail Busy Location * Great Exposure/Visibility * Good Parking   Next To Td Canada Trust * Ceramic Flooring ** Move-In Ready * Great Small Business Opportunity * $1786.67 Per Month Gross Including Tmi * Plus Metered Utilities*,Office,1000,2016/6/20 20:55
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#201 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Central Location For Medical / Related Professional Offices Directly Accross From Southlake Regional Health Centre * Public Transit At The Door * Available Immediately * All Utilities, Heat & A/C Included In The Additional Rent ** Elevator * Price Is """"As Is"""" * Landlord Will Negotiate Reno's / Build Out To Suit For Long Term Tenant ***",Office,1000,2016/7/18 2:29
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#200 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Location For Medical / Related Professional Offices Directly Across From Southlake Regional Health Care *Public Transit At The Door* Available Immediately**All Utilities, Heat & A/C Included In The Additional Rent** 2 Locked Common Area Washroom Outside Unit Plus One Ensuite 2 Piece Washroom * Elevator * Former Dental Office * Landlord Will Negotiate Reno's / Build Out To Suit Long Term Tenant **",Office,1000,2016/7/18 1:25
RE/MAX HALLMARK REALTY LTD.,For sale,42.4792618,-71.1522765,Toronto,36 LEE CENTRE DR Toronto Ontario M1H3K2 Canada,Ontario,"Parking Spot Available For Sale - Oversized, Close To Elevator Prime Location...Buyers Must Be Resident Of 36 Or 38 Lee Center Drive... Maintenance Fee Is Approximately About 50.00 Per Month.",Single Family,10000,2016/8/29 20:32
RE/MAX HALLMARK REALTY LTD.,For sale,42.4792618,-71.1522765,Toronto,36 LEE CENTRE DR Toronto Ontario M1H3K2 Canada,Ontario,"****Parking Spot Only*** Oversized, Close To Elevator, Prime Location*** A Great Addition To Your Unit, Buyers Must Be A Resident Of 36 & 38 Lee Center Drive*** Maintenance Fee Is $53.40 Per Month. **** EXTRAS **** None",Single Family,10000,2016/9/3 14:57
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#300 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Central Location For Medical / Related Professional Office Directly Across From Southlake Regional Health Centre * Public Transit At The Door * Available Immediately * All Utilities, Heat & A/C Included In The Additional Rent * Elevator * Move In Condition....Currently Set Up As Doctors Office / Lease Hold Improvments **** EXTRAS **** Current Tenant May Consider Selling Furniture / Equipment",Office,1000,2016/10/13 0:32
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,144 CRANBERRY LANE Aurora Ontario L4G5Z4 Canada,Ontario,"Picturesque Privacy 58' X 135' Pool-Szd Lot Backing To Protected Ravine In Sought After Highlands Enclave Of Executive Homes!A.B. Cairns Qlty Built & Upgraded Featuring Marley Tile Roof,Tumbled Stone Drive & Flagstone Wlkwy,Prof Lndscpd,Curb Appeal & Much More!Separate & Sunken Lr W/Plantation Shutters & Custom Cornice Mldngs!Formal Dr O/L Ravine!Big Ceramic Eat-In Kit W/Ss Appli & Solarium Eat-In Area O/L Ravine!Spac.Fam Rm W/Woodburning Fpl & W/O To **** EXTRAS **** Two Tiered Deck O/L Ravine!Mbr W/Overszd W/In & Invtng Ens!HwdOn Both Lvls!Large Secondary Bdrms Too!Bright,Spacious Opn Cncpt Prof Fin Lwr Lvl W/2nd Kit/Wet Bar,Huge Rec Rm,Games Room/Gym & R/I 3Pc W/In-Law Potential!",Single Family,1050888,2016/10/3 14:39
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,147 TIMBERLINE TR Aurora Ontario L4G5Z6 Canada,Ontario,"Aurora Highlands Beauty & Backs To Protected Greenspace On 67X124 Pool-Szd South Exp. Lot! Meticulously Maintained&Upgraded By Original Owners! Hwd Flrs! Entertaining-Szd Lr & Dr W/Fr Dr Entry! Big Ceramic Eat-In Kit W/Bi Appli W/Fam-Szd Solarium Eat-In Area W/W-O To O/S Custom Deck W/Spectacular Views! Spac.Fam Rm W/Custom Oak Trim&C/F Gas Fpl&Bright Picture Wdw O/L Scenic Greenspace! Lrg Bdrms!Master W/Inviting Marble Ensuite&Big W-In Closet! Updated Main **** EXTRAS **** Bath W/Skylite!Knockout Bright Prof Fin W/O Bsmt W/Inlaw Pot.Feat.5th Br Or Den,Huge Rec-Games Rm Combo W/Custom Wet Bar&C/F Stone Fpl&O/S 3Pc Ceramic Bath!Beautifully Lndscpd,Interlock Drive&Walkways.See Feature Sheet For Incl/Excl.",Single Family,1088888,2016/5/31 15:03
RE/MAX HALLMARK REALTY LTD.,For sale,43.6869346,-79.3550041,Toronto,261 FULTON AVE Toronto Ontario M4K1Y6 Canada,Ontario,"Fabulous Four Bedroom Detached Dwelling Just Steps To Pape Subway Station And The Danforth. Open Concept Design With Official Chefs Kitchen With 50"""" X 62"""" Centre Island And 48"""" Duel Fuel Range With 6 Burners, Jen Air Vent And Breakfast Bar. Hardwood Flooring Throughout, Updated Baths And Private Rear Yard Perfect For Entertaining. Walk Score 93 Close To Transit, Shops, Parks And Schools. A 905 Home In The City With Linen Closet, Pantry, And Garage. **** EXTRAS **** S/S 48"""" Dual Fuel Range, S/S Four Door Fridge, Jen Air Hood Fan, S/S Built In Dishwasher, Washer And Dryer On 2nd Level, Garage Door Opener, Elfs, Gas Burner And Equipment And CentralAir.",Single Family,1089000,2016/11/14 20:41
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,147 TIMBERLINE TR Aurora Ontario L4G5Z6 Canada,Ontario,"Aurora Highlands Beauty & Backs To Protected Greenspace On 67X124 Pool-Szd South Exp. Lot! Meticulously Maintained&Upgraded By Original Owners! Hwd Flrs! Entertaining-Szd Lr & Dr W/Fr Dr Entry! Big Ceramic Eat-In Kit W/Bi Appli W/Fam-Szd Solarium Eat-In Area W/W-O To O/S Custom Deck W/Spectacular Views! Spac.Fam Rm W/Custom Oak Trim&C/F Gas Fpl&Bright Picture Wdw O/L Scenic Greenspace! Lrg Bdrms!Master W/Inviting Marble Ensuite&Big W-In Closet! Updated Main **** EXTRAS **** Bath W/Skylite!Knockout Bright Prof Fin W/O Bsmt W/Inlaw Pot.Feat.5th Br Or Den,Huge Rec-Games Rm Combo W/Custom Wet Bar&C/F Stone Fpl&O/S 3Pc Ceramic Bath!Beautifully Lndscpd,Interlock Drive&Walkways.See Feature Sheet For Incl/Excl.",Single Family,1088888,2016/8/17 21:39
